,subject,predicate,object
300,least amount,period of is,Conversely southwest monsoon with rainfall
301,least amount,period of is,southwest monsoon with rainfall
302,period,is during,Conversely southwest monsoon with rainfall dropping to monthly low
303,least amount,period of is,Conversely southwest monsoon with rainfall dropping to monthly low
304,period,is during,Conversely southwest monsoon with rainfall
305,amount,period of is,southwest monsoon with rainfall
306,period,is during,Conversely southwest monsoon with rainfall dropping
307,amount,period of is,Conversely southwest monsoon with rainfall dropping
308,least amount,period of is,southwest monsoon
309,least amount,period of is,Conversely southwest monsoon with rainfall dropping to low
310,amount,period of is,southwest monsoon with rainfall dropping to monthly low
311,least amount,period of is,southwest monsoon with rainfall dropping to monthly low
312,period,is during,Conversely southwest monsoon
313,southwest monsoon,is with,rainfall dropping to monthly low of less 7 inches in July
314,amount,period of is,Conversely southwest monsoon with rainfall dropping to low
315,amount,period of is,Conversely southwest monsoon with rainfall
316,period,is during,southwest monsoon
317,amount,period of is,southwest monsoon with rainfall dropping to low
318,least amount,period of is,Conversely southwest monsoon with rainfall dropping
319,periods,characterized by,sluggish air movements
320,October,are,periods characterized by sluggish air movements
321,intermonsoonal periods,characterized by,sluggish air movements
322,October,are,periods characterized
323,October,are,periods characterized by air movements
324,April,are,intermonsoonal periods characterized by air movements
325,October,are,periods
326,October,are,intermonsoonal periods characterized by sluggish air movements
327,April,are,periods
328,periods,characterized by,air movements
329,April,are,periods characterized by sluggish air movements
330,April,are,intermonsoonal periods characterized
331,October,are,intermonsoonal periods
332,April,are,periods characterized by air movements
333,April,are,intermonsoonal periods characterized by sluggish air movements
334,October,are,intermonsoonal periods characterized by air movements
335,April,are,periods characterized
336,intermonsoonal periods,characterized by,air movements
337,April,are,intermonsoonal periods
338,October,are,intermonsoonal periods characterized
339,rain,falls at_time,day of year
340,rain,Altogether falls somewhere at_time,day of year
341,rain,falls somewhere at_time,day of year
342,rain,Altogether falls at_time,day of year
343,exotic plants,have,have introduced for ornamental use
344,exotic plants,have,have introduced
345,Many exotic plants,have,have introduced for ornamental use
346,exotic plants,have,have introduced for use
347,Many exotic plants,have,have introduced
348,Many exotic plants,have,have introduced for use
349,animals,are,long-tailed macaque
350,largest animals,are,macaque
351,largest native animals,are,long-tailed macaque
352,native animals,are,long-tailed macaque
353,largest animals,are,long-tailed macaque
354,native animals,are,macaque
355,largest native animals,are,macaque
356,animals,are,macaque
357,symbiotic relationship,is with,humans
358,Birds,are,numerous
359,kite,is with,reddish brown plumage
360,Reptiles,are,common
361,Reptiles,are,also common
362,kite,is with,reddish brown plumage
363,wildlife,occur,around many parts of coast
364,associated fish,occur,many parts of coast
365,wildlife,occur,parts of coast
366,fish,occur,around many parts of coast
367,fish,occur,parts of coast
368,associated fish,occur,parts of coast
369,associated fish,occur,around many parts of coast
370,fish,occur,many parts of coast
371,wildlife,occur,many parts of coast
372,city,is situated in,southern portion
373,city,is,situated
374,city,is situated in,southern portion of island
375,city,is situated in,portion of island
376,city,is situated in,portion
377,urbanization,has blurred,differences between city
378,urbanization,has blurred,differences
379,urbanization,has blurred differences Over,time
380,areas,cover,large part
381,Built-up areas,now cover,large part of city-state
382,Built-up areas,now cover,large part
383,areas,cover,large part of city-state
384,Built-up areas,cover,large part of city-state
385,areas,cover,part of city-state
386,areas,now cover,large part
387,areas,cover,part
388,Built-up areas,now cover,part
389,areas,now cover,part
390,Built-up areas,cover,part of city-state
391,areas,now cover,part of city-state
392,Built-up areas,cover,part
393,areas,now cover,large part of city-state
394,Built-up areas,cover,large part
395,Built-up areas,now cover,part of city-state
396,parts,have,have refurbished
397,parts,have,have substantially refurbished
398,older parts,have,have refurbished
399,older parts,have,have substantially refurbished
400,Chinese shop-house,consisting above,commercial establishment
401,shop-house,consisting above,commercial establishment
402,once-common shop-house,consisting above,commercial establishment
403,once-common shop-house,consisting of,quarters
404,once-common Chinese shop-house,consisting above,establishment
405,Chinese shop-house,consisting of,living quarters
406,once-common Chinese shop-house,consisting of,quarters
407,shop-house,consisting of,quarters
408,once-common Chinese shop-house,consisting of,living quarters
409,once-common shop-house,consisting of,living quarters
410,Chinese shop-house,consisting of,quarters
411,once-common Chinese shop-house,consisting above,commercial establishment
412,shop-house,consisting of,living quarters
413,once-common shop-house,consisting above,establishment
414,Chinese shop-house,consisting above,establishment
415,shop-house,consisting above,establishment
416,Housing Board,created,integrated communities inhabited
417,Housing Board,created,communities inhabited by people with mixture
418,Housing Board,has relocated,commerce
419,Housing Board,created,communities
420,Housing Board,created,residential communities inhabited
421,Housing Board,has relocated commerce into,separate districts
422,integrated residential communities,inhabited by,people
423,communities,inhabited by,people with mixture
424,people,is with,mixture of incomes
425,Housing Board,has relocated commerce into,districts
426,integrated residential communities,inhabited by,people with mixture
427,Housing Board,created,communities inhabited by people with mixture of incomes
428,integrated communities,inhabited by,people
429,integrated communities,inhabited by,people with mixture of incomes
430,communities,inhabited by,people
431,residential communities,inhabited by,people with mixture
432,Housing Board,created,integrated communities inhabited by people with mixture of incomes
433,integrated residential communities,inhabited by,people with mixture of incomes
434,residential communities,inhabited by,people with mixture of incomes
435,Housing Board,created,residential communities
436,Housing Board,created,integrated residential communities inhabited by people with mixture
437,Housing Board,created,integrated residential communities inhabited by people
438,Housing Board,created,integrated residential communities
439,Housing Board,created,integrated residential communities inhabited by people with mixture of incomes
440,Housing Board,created,communities inhabited
441,Housing Board,created,communities inhabited by people
442,residential communities,inhabited by,people
443,integrated communities,inhabited by,people with mixture
444,Housing Board,created,integrated communities
445,Housing Board,created,residential communities inhabited by people
446,Housing Board,created,residential communities inhabited by people with mixture
447,Housing Board,created,integrated communities inhabited by people with mixture
448,Housing Board,created,residential communities inhabited by people with mixture of incomes
449,Housing Board,created,integrated residential communities inhabited
450,Housing Board,created,integrated communities inhabited by people
451,communities,inhabited by,people with mixture of incomes
452,About four-fifths,resides in,high-rise HDB flats
453,About four-fifths,resides in,high-rise HDB flats located
454,four-fifths,resides in,high-rise HDB flats located
455,four-fifths,resides in,HDB flats located
456,About four-fifths,now resides in,HDB flats
457,About four-fifths,now resides in,high-rise HDB flats
458,About four-fifths,resides in,HDB flats located
459,four-fifths,now resides in,high-rise HDB flats located
460,About four-fifths,now resides in,HDB flats located
461,four-fifths,resides in,high-rise HDB flats
462,Singapore,of,population
463,four-fifths,now resides in,HDB flats located
464,four-fifths,now resides in,high-rise HDB flats
465,four-fifths,resides in,HDB flats
466,About four-fifths,now resides in,high-rise HDB flats located in housing estates
467,four-fifths,resides in,HDB flats located in housing estates
468,About four-fifths,now resides in,high-rise HDB flats located
469,four-fifths,now resides in,high-rise HDB flats located in housing estates
470,four-fifths,now resides in,HDB flats
471,About four-fifths,resides in,HDB flats located in housing estates
472,About four-fifths,now resides in,HDB flats located in housing estates
473,four-fifths,resides in,high-rise HDB flats located in housing estates
474,About four-fifths,resides in,high-rise HDB flats located in housing estates
475,About four-fifths,resides in,HDB flats
476,four-fifths,now resides in,HDB flats located in housing estates
477,towns,are characterized by,easy access to places
478,towns,are characterized by,access to places
479,towns,are scattered across,island
480,new towns,are,scattered
481,new towns,are characterized by,easy access to places of employment
482,new towns,are,characterized
483,new towns,are scattered across,island
484,towns,are characterized by,access
485,towns,are characterized by,easy access
486,new towns,are characterized by,access to places
487,new towns,are characterized by,easy access to places
488,new towns,are characterized by,access
489,towns,are,scattered
490,towns,are characterized by,access to places of employment
491,new towns,are characterized by,access to places of employment
492,new towns,are characterized by,easy access
493,towns,are,characterized
494,towns,are characterized by,easy access to places of employment
495,traditional Malay kampong settlements,are now found in,rural areas
496,Malay kampong settlements,are now found in,select rural areas
497,Malay kampong settlements,are found in,select rural areas
498,traditional Malay kampong settlements,are found in,only select rural areas
499,Malay kampong settlements,are found in,areas
500,Malay kampong settlements,are now found in,only areas
501,traditional Malay kampong settlements,are now found in,areas
502,traditional Malay kampong settlements,are found in,areas
503,Malay kampong settlements,are declining in,number
504,traditional Malay kampong settlements,are now found in,only select areas
505,Malay kampong settlements,are found in,only select rural areas
506,traditional Malay kampong settlements,are found in,only rural areas
507,traditional Malay kampong settlements,are now found in,only rural areas
508,traditional Malay kampong settlements,are found in,only select areas
509,Malay kampong settlements,are found in,select areas
510,Malay kampong settlements,are,found
511,Malay kampong settlements,are found in,rural areas
512,traditional Malay kampong settlements,are,found
513,Malay kampong settlements,are found in,only rural areas
514,Malay kampong settlements,are now found in,select areas
515,traditional Malay kampong settlements,are now found in,select rural areas
516,traditional Malay kampong settlements,are now found in,only select rural areas
517,traditional Malay kampong settlements,are now found in,select areas
518,traditional Malay kampong settlements,are found in,only areas
519,Malay kampong settlements,are now found in,rural areas
520,Malay kampong settlements,are,now found
521,traditional Malay kampong settlements,are declining in,number
522,Malay kampong settlements,are found in,only areas
523,traditional Malay kampong settlements,are now found in,only areas
524,Malay kampong settlements,are found in,only select areas
525,Malay kampong settlements,are now found in,only select rural areas
526,traditional Malay kampong settlements,are,now found
527,Malay kampong settlements,are now found in,only select areas
528,Malay kampong settlements,are now found in,areas
529,traditional Malay kampong settlements,are found in,rural areas
530,traditional Malay kampong settlements,are found in,select rural areas
531,traditional Malay kampong settlements,are found in,select areas
532,Malay kampong settlements,are now found in,only rural areas
533,population,is,diverse
534,Chinese,making up,three-fourths of total
535,Chinese,making up,three-fourths
536,Malays,are,ethnic group
537,Malays,are,next largest ethnic group
538,Malays,are,largest group
539,Malays,are,next largest group
540,Malays,are,group
541,Malays,are,largest ethnic group
542,number,are from,parts
543,number,are from,parts of Guangdong
544,city,is in,Fujian province
545,number,are from,other parts of Guangdong
546,smaller number,are from,parts
547,smaller number,are from,other parts
548,smaller number,are from,other parts of Guangdong
549,number,are from,other parts
550,smaller number,are from,parts of Guangdong
551,group,is,diverse
552,group,also includes,communities
553,group,includes,Pakistani communities
554,group,includes,communities
555,group,also includes,Pakistani communities
556,group,is,most diverse
557,it,is language of,instruction in schools
558,it,is primary language of,instruction
559,English,main medium for,administration
560,it,is primary language of,instruction in schools
561,English,remains,main medium for administration
562,it,is,language
563,English,remains,medium
564,English,medium for,administration
565,English,remains,main medium
566,instruction,is in,schools
567,English,remains,medium for administration
568,it,is language of,instruction
569,it,is,primary language
570,one-third,is taught in,language
571,Mandarin,language of,China
572,Mandarin,transcends,dialect barriers
573,Mandarin,official language of,China
574,one-third,is,taught
575,China use,is,strongly promoted
576,Mandarin,language of,China
577,China use,is,promoted
578,Malay,is,like English widely used for communication among groups
579,Malay,is,like English widely used for communication among ethnic groups
580,country,as,national language
581,Malay,is,like English used for communication
582,Malay,is widely used for,communication among groups
583,Malay,is,like English used for communication among groups
584,Malay,is widely used for,communication among ethnic groups
585,Malay,is,widely used
586,Malay,is used like,English
587,Malay,is widely used for,communication
588,Malay,is,designated
589,Malay,is used for,communication
590,Malay,is widely used like,English
591,Malay,is widely used like,Malay
592,Malay,is used for,communication among groups
593,Malay,is,used
594,Malay,is used like,Malay
595,Malay,is used for,communication among ethnic groups
596,Malay,is,like English used for communication among ethnic groups
597,Malay,is,like English widely used for communication
598,affiliations,reflect,patterns
599,affiliations,reflect,ethnic patterns
600,Religious affiliations,reflect,ethnic patterns
601,Religious affiliations,reflect,patterns
602,Christian community,become,comparable
603,Christian community,has grown,become
604,Christian community,become,comparable to Muslim population
605,Christian community,has grown rapidly,become
606,Christian community,become,comparable in size to population
607,Christian community,become,comparable in size to Muslim population
608,Christian community,become,comparable to population
609,Christian community,become,comparable in size
610,Christians,are,Chinese
611,Singapore,has experienced,growth
612,Singapore,has experienced,remarkable growth
613,Singapore,has experienced,economic growth
614,Singapore,has experienced,diversification
615,Singapore,has experienced,remarkable economic growth
616,Singapore,has experienced diversification since,1960
617,Singapore,entrepôts of,British empire
618,Singapore,has experienced growth since,1960
619,Singapore,is often mentioned along with,other industrializing countries
620,Singapore,is often mentioned along with,other rapidly industrializing countries in Asia
621,Singapore,is often mentioned along with,rapidly industrializing countries
622,Singapore,is often mentioned along with,South Korea
623,other industrializing countries,is in,Asia
624,Singapore,is,often mentioned
625,Singapore,is often mentioned along with,rapidly industrializing countries in Asia
626,Singapore,is often mentioned along with,notably South Korea
627,Singapore,is mentioned along with,other countries
628,Singapore,is often mentioned along with,industrializing countries in Asia
629,Singapore,is mentioned along with,other countries in Asia
630,Singapore,is mentioned along with,South Korea
631,Singapore,has,advanced economy
632,Singapore,is often mentioned along with,countries in Asia
633,Singapore,is often mentioned along with,other countries
634,Singapore,is,mentioned
635,Singapore,is mentioned along with,industrializing countries
636,Singapore,is often mentioned along with,other rapidly industrializing countries
637,Singapore,has,most advanced economy
638,Singapore,is mentioned along with,countries in Asia
639,Singapore,is mentioned along with,other rapidly industrializing countries
640,Singapore,is often mentioned along with,other countries in Asia
641,Singapore,is mentioned along with,countries
642,Singapore,is mentioned along with,rapidly industrializing countries in Asia
643,Singapore,is mentioned along with,industrializing countries in Asia
644,Singapore,is mentioned along with,other rapidly industrializing countries in Asia
645,advanced economy,is in,Southeast Asia
646,Singapore,is mentioned along with,notably South Korea
647,Singapore,is mentioned along with,other industrializing countries
648,Singapore,has,advanced economy in Southeast Asia
649,Singapore,is often mentioned along with,industrializing countries
650,Singapore,has,most advanced economy in Southeast Asia
651,Singapore,is often mentioned along with,countries
652,Singapore,is mentioned along with,other industrializing countries in Asia
653,Singapore,is mentioned along with,rapidly industrializing countries
654,Singapore,has,economy
655,Singapore,is often mentioned along with,other industrializing countries in Asia
656,Singapore,has,economy in Southeast Asia
657,Singapore economy,always has differed from,those of Southeast Asian countries in Singapore 's economy
658,Singapore economy,always has differed from,those of countries
659,Singapore economy,always has differed from,those of other Southeast countries in Singapore 's economy
660,Singapore economy,has differed from,those of other Southeast Asian countries in Singapore 's economy
661,Singapore economy,always has differed from,those of other Southeast Asian countries in Singapore 's economy
662,Singapore economy,has differed from,those of Asian countries
663,Singapore economy,always has differed from,those of other countries
664,Singapore economy,has differed from,those of other Southeast countries in Singapore 's economy
665,Singapore economy,has differed from,those of Southeast Asian countries
666,Singapore economy,always has differed from,those of countries in Singapore 's economy
667,Singapore economy,has differed from,those of other Southeast countries
668,Singapore economy,always has differed from,those of Asian countries in Singapore 's economy
669,Singapore,in,economy
670,Singapore economy,has differed from,those of countries in Singapore 's economy
671,Singapore economy,has differed from,those of other countries in Singapore 's economy
672,Singapore economy,has differed from,those of other Asian countries in Singapore 's economy
673,Singapore economy,always has differed from,those of other Southeast Asian countries
674,Singapore economy,has differed from,those of other countries
675,Singapore economy,always has differed from,those of other Asian countries in Singapore 's economy
676,other Southeast Asian countries,is in,Singapore 's economy
677,Singapore economy,always has differed from,those
678,Singapore economy,has differed from,those
679,Singapore economy,always has differed from,those of Southeast countries
680,Singapore economy,has differed from,those of other Asian countries
681,Singapore economy,always has differed from,those of Southeast countries in Singapore 's economy
682,Singapore economy,has differed from,those of countries
683,Singapore economy,always has differed from,those of other countries in Singapore 's economy
684,Singapore economy,always has differed from,those of other Southeast countries
685,Singapore economy,always has differed from,those of Southeast Asian countries
686,Singapore economy,has differed from,those of other Southeast Asian countries
687,Singapore economy,has differed from,those of Asian countries in Singapore 's economy
688,Singapore economy,has differed from,those of Southeast Asian countries in Singapore 's economy
